sample,duration_seconds
1,0.061527
2,0.011671
3,0.012837
4,0.014603
5,0.018611
6,0.016709
7,0.016382
8,0.015800
9,0.017041
10,0.016453
11,0.015147
12,0.016181
13,0.017181
14,0.017034
15,0.017952
16,0.013275
17,0.015841
18,0.016512
19,0.016126
20,0.010481
21,0.010340
22,0.015400
23,0.015134
24,0.008908
25,0.011941
26,0.013195
27,0.009418
28,0.014506
29,0.021452
30,0.009387
31,0.011484
32,0.012966
33,0.012520
34,0.013578
35,0.011786
36,0.015828
37,0.077289
38,0.010090
39,0.012822
40,0.012541
41,0.012352
42,0.011991
43,0.017988
44,0.009945
45,0.026671
46,0.016145
47,0.013111
48,0.011521
49,0.011269
50,0.011806
51,0.033181
52,0.012449
53,0.008146
54,0.010947
55,0.010111
56,0.010205
57,0.011498
58,0.012422
59,0.013348
60,0.011047
61,0.013971
62,0.012133
63,0.011754
64,0.009948
65,0.009009
66,0.011898
67,0.009830
68,0.010003
69,0.011355
70,0.010682
71,0.010931
72,0.012649
73,0.011866
74,0.010047
75,0.009364
76,0.011188
77,0.011635
78,0.010498
79,0.011220
80,0.009529
81,0.008666
82,0.007216
83,0.008485
84,0.009888
85,0.008868
86,0.010190
87,0.010921
88,0.011082
89,0.011944
90,0.011320
91,0.010464
92,0.011687
93,0.011170
94,0.011675
95,0.010899
96,0.013029
97,0.010111
98,0.010872
99,0.011801
100,0.010341
